topic_serial,text
1,#南方气温或将再创新低#这种气温下人脸识别锁的优势就完美体现出来了不必在寒风中伸出手找钥匙开门手插兜刷脸即可轻松解锁
1,#律师呼吁立法惩治键盘侠#@新浪 发布任何内容时，请弹出身份证号和人脸识别验证通过后再允许发布，让每一个人在网络发言时给他们一次正视自己身份的过程。真的，这个网络太操🥚了，分分钟致郁，带有攻击性的词语全部屏蔽，平台机制赶紧完善。
2,#朱丹不叫错人名的办法找到了#作为数码博主和实用主义者，亓纪的建议是这样的：搞个智能眼镜，通过人脸识别明星和名人准确率还是挺好的。在关键的时候，可以有效的避免叫错名字。 2新郑市
2,腾讯人工客服腾讯客服健康系统不是我的实名，已经成年了，现在疑似未成年人，QQ认证了身份证也上传了正反面，也有人脸识别，我的QQ是852464503，突然发现腾讯游戏健康系统实名认证不是我自己的，也无法修改实名认证信息，更没有给出一年修改一次的时间。@腾讯客服
2,北航半日游这个学校测温的人脸识别自带美颜啊美颜！另外图中所有宗地和房屋权属主均为北航，就是说从北四环到知春路都是呢 2北京·北京航空航天大学
2,整无语了虽然当时我没带眼镜录的人脸识别我戴上眼镜认不出就算了光线不好我拿了眼镜认不出就过分了
2,我姥出于安全考虑，让我帮她的手机设置一个人脸识别锁屏，但因为眼睛太小，今天解锁的时候手机提示她“请睁开双眼”，气的她骂了手机半天
2,原来考完研这么无聊的吗在床上瘫了两天了想着做个指甲吧 但指甲又太短了 考前为了写字舒服指甲都剪秃了种个睫毛吧 我又满脸痘 想着把脸治好了再种满脸痘 满脸干皮怪不得考试的时候人脸识别不认识我我也不认识
2,他们这是在人脸识别认证身份呢，正好方便统计出来一并发出来上热搜，免得他们不够长脸
2,#姣姣说消保# “共享屏幕”使用不当成为了骗子的“共享钱包”？个人账户悄无声息被隔空盗刷？人脸识别成为骗子新手段？诈骗套路层出不穷，屏幕共享不可不防！快跟随姣姣一起了解更多防骗知识，强化风险意识，让骗子没有可乘之机！O警惕！别让“共享屏幕”变成诈骗分子的“共享钱包” O警惕！别让“共享屏幕”变成诈骗分子的“共享钱包”
2,#你拍我来画# @爱课狮 @CG原画的X先生Day2拍照的时候，人脸识别的程序自动在脸上打出一个方框。暗暗爽到
2,人脸识别去死吧
2,#沧州# 【沧州11岁男孩撒谎让爷爷“刷脸”，一万多元不知不觉没了.】近日，市民尤先生11岁的儿子用爷爷的手机玩游戏时，谎称“刷脸”解锁手机，让爷爷进行人脸识别后，为手机游戏充值。几个月的时间，他给游戏充值了一万多元。#我要上同城精选# 2沧州
2,【广汽丰田威飒配置曝光 支持人脸识别 预售22.00万起】12月28日消息，广汽丰田威飒部分配置近日在网上曝光。根据此前的消息，新车将提供燃油版与双擎版两种动力配置，其中燃油版预售区间为22.00万-27.00万元，双擎版预售区间为25.00万-31.00万元。
2,学校门口闸机的人脸识别，戴上口罩可以认，戴帽子不行，所以每次过我就把帽子往上抬抬。今天突然惊觉这样子很像每次都跟闸机打个招呼……
2,图书馆人脸识别实录洗头版zc识别结果：黄蕲同学毛线帽版zc识别结果：巴依莎紧急模糊版zc识别结果：某嘉欣赏疲惫版zc识别结果：火山本人
2,每天最痛苦的是下班已经很晚了结果下班打卡人脸识别死活不通过
2,人脸识别不只是上传人脸而是整个摄像头所拍到的
2,健美操大家庭的合照又多了许多 c位从此不再怕听说别的宿舍床帘拉起来偷偷背书 笑死 根本卷不动 西西宝贝积极引导我们背书想知道我的脸什么时候可以通过学校大门的人脸识别😅跟着王俊凯准没戳 禄合门雀氏好吃
2,头盔影响人脸识别以后记得摘🤦🏻‍♂️
2,对自己颜值把握不准的朋友可以打开赣服通，随便打开一个需要人脸识别权限的页面，就那一瞬间，对自己的脸有了充分的认识。
2,12306能不能把自己的账号只能处理自己的订单这个设定改掉！！！以前明明不是这样的！！！帮老人定了票，现在要退票，却在我的账号上看不到他的订票信息，然后我登录上他的账号，却只能人脸识别之后才能查看订票信息！我emo了……没和老人在一起，老人又弄不懂……有被气到。
2,我的问题什么时候能够解决呀！已经5天过去了…… 那个人脸识别根本没用！刚点开就显示失败，让3天后重试……就15元能不能提了…@微博客服 @微博客服 @微博客服
2,#以案说法# 【人脸识别：司法保障 守护隐私】 O网页链接
2,为什么进小区都要搞人脸识别，我无语了……
2,sky光遇求助：朋友们！！！我和好友都是华为渠道服，我要怎么登她号阿，我们用了验证码但要人脸识别，然后我们看见可以扫码，但一直在显示的登录取消！救命我们弄好久了，华渠怎么帮登阿
2,真的好想玩游戏，又不想重新练号，买个号又是人脸识别各种麻烦怕被找回#天涯明月刀ol#
2,光遇现在还有人脸识别会弹吗？想买号的我开始犹豫
2,平常寝室楼下的门禁人脸识别死活认不出我今天化了妆秒识别❓
2,说真的，别说什么镜子和苹果原相机了，我一直觉得高铁站检票的人脸识别影像才是最绝的，摘下口罩正视的时候，那脸都宽的像个洗脸盆，丑的想回头。
2,婕婕学校现在可好了……进校已经是人脸识别系统了学校吃个饭也是刷脸以后可以控制她的零食啦一举一动，学校内轨迹尽在掌握之中哈哈哈哈哈😂……透明宝宝诞生记
2,全校唯一一栋男女混寝 我住了 洗衣服一直提到隔壁去洗 现在每栋搞了人脸识别 我都不知道咋办 啊啊啊啊 我他妈 要死 好难受 我感觉好脏啊 面对这我还不知道怎么用 我也是醉了
2,原来那些人脸审核是会把上半身都拍进去的啊，我以为只能拍到个脸，真的是难为这群审核的人员了，我天天蹲在马桶上做人脸识别。
